created_at,consumer,influencer
2020-06-29,1,0
2020-06-30,2,0
2020-07-02,0,1
2020-07-03,1,0
2020-07-10,1,0
2020-07-11,1,0
2020-07-12,0,1
2020-07-13,0,1
2020-07-15,1,0
2020-07-16,1,0
2020-07-17,1,2
2020-07-20,1,0
2020-07-22,3,0
2020-07-26,1,0
2020-07-27,3,0
2020-07-31,2,0
2020-08-06,1,0
2020-08-10,0,1
2020-08-11,1,0
2020-08-12,1,0
2020-08-13,1,0
2020-08-14,1,0
2020-08-16,1,0
2020-08-21,1,0
2020-08-22,1,1
2020-08-25,2,1
2020-08-26,2,0
2020-08-29,1,0
2020-08-31,1,0
2020-09-07,1,0
2020-09-11,1,0
2020-09-12,1,0
2020-09-13,1,1
2020-09-14,0,1
2020-09-16,2,0
2020-09-18,1,0
2020-09-20,1,0
2020-09-21,1,1
2020-09-22,1,0
2020-09-26,0,1
2020-09-27,1,0
2020-09-28,1,0
2020-09-29,1,0
2020-10-01,1,0
2020-10-03,1,0
2020-10-07,1,0
2020-10-09,1,0
2020-10-12,1,0
2020-10-13,1,0
2020-10-14,1,0
2020-10-15,1,0
2020-10-17,1,2
2020-10-20,1,0
2020-10-21,1,0
2020-10-28,1,0
2020-10-31,1,0
2020-11-05,2,0
2020-11-15,1,0
2020-11-16,1,0
2020-11-19,1,0
2020-11-20,4,0
2020-11-25,3,1
2020-11-30,1,0
2020-12-01,1,0
2020-12-03,1,0
2020-12-05,1,0
2020-12-06,1,0
2020-12-07,1,0
2020-12-08,3,0
2020-12-09,1,0
2020-12-10,2,0
2020-12-12,2,0
2020-12-25,0,1
2020-12-26,1,0
2020-12-28,1,0
2020-12-30,3,0
2021-01-02,1,0
2021-01-03,1,0
2021-01-07,1,0
2021-01-11,1,0
2021-01-12,1,0
2021-01-15,2,0
2021-01-16,1,0
2021-01-19,2,0
2021-01-23,1,0
2021-01-25,1,1
2021-01-26,2,0
2021-01-27,1,0
2021-01-28,3,0
2021-01-30,1,0
2021-02-04,1,0
2021-02-05,1,0
2021-02-06,1,0
2021-02-07,1,0
2021-02-09,1,0
2021-02-10,1,0
2021-02-13,1,0
2021-02-16,1,0
2021-02-17,4,0
2021-02-21,1,0
2021-02-23,0,1
2021-02-25,0,1
2021-02-28,1,0
2021-03-01,1,0
2021-03-04,1,0
2021-03-06,1,0
2021-03-08,1,1
2021-03-09,1,0
2021-03-10,1,0
2021-03-13,0,1
2021-03-14,1,0
2021-03-15,2,0
2021-03-16,2,0
2021-03-18,1,0
2021-03-20,1,0
2021-03-21,1,0
2021-03-23,3,0
2021-03-26,1,0
2021-03-27,2,0
2021-03-29,1,0
2021-04-01,1,0
2021-04-03,1,0
2021-04-05,2,0
2021-04-08,3,2
2021-04-09,1,0
2021-04-14,0,2
2021-04-15,1,0
2021-04-16,1,0
2021-04-19,4,0
2021-04-20,1,0
2021-04-21,1,0
2021-04-22,1,1
2021-04-23,1,0
2021-04-24,1,0
2021-04-25,1,0
2021-04-26,1,0
2021-04-28,2,1
2021-05-02,1,0
2021-05-03,1,1
2021-05-04,1,1
2021-05-06,0,1
2021-05-08,1,0
2021-05-10,0,1
2021-05-13,0,1
2021-05-15,2,0
2021-05-17,2,0
2021-05-18,2,0
2021-05-20,1,0
2021-05-21,1,0
2021-05-23,2,0
2021-05-26,0,1
2021-05-27,2,0
2021-05-31,1,0
2021-06-01,0,1
2021-06-03,1,0
2021-06-04,1,0
2021-06-05,1,0
2021-06-06,1,0
2021-06-09,2,0
2021-06-12,1,0
2021-06-13,0,1
2021-06-14,1,0
2021-06-16,4,0
2021-06-17,3,0
2021-06-18,1,2
2021-06-19,2,2
2021-06-21,0,1
2021-06-22,1,0
2021-06-29,2,0
2021-07-07,0,1
2021-07-09,1,0
2021-07-10,0,1
2021-07-11,1,0
2021-07-13,1,0
2021-07-14,1,1
2021-07-18,1,0
2021-07-19,1,0
2021-07-20,2,0
2021-07-21,1,0
2021-07-23,1,0
2021-07-24,0,3
2021-07-30,0,1
2021-08-01,1,0
2021-08-03,1,0
2021-08-05,1,0
2021-08-07,1,0
2021-08-10,1,1
2021-08-12,1,0
2021-08-15,0,1
2021-08-16,1,0
2021-08-17,1,0
2021-08-18,2,2
2021-08-20,1,0
2021-08-21,0,1
2021-08-23,0,1
2021-08-25,2,0
2021-08-26,0,1
2021-08-27,1,0
2021-08-29,0,1
2021-08-30,3,0
2021-09-01,0,2
2021-09-06,3,0
2021-09-08,1,0
2021-09-10,0,1
2021-09-13,1,0
2021-09-14,1,0
2021-09-17,1,1
2021-09-18,2,0
2021-09-20,3,0
2021-09-22,1,0
2021-09-25,1,0
2021-09-26,0,1
2021-09-27,0,1
2021-09-29,1,0
2021-10-01,1,0
2021-10-04,0,3
2021-10-06,3,0
2021-10-10,0,1
2021-10-11,0,1
2021-10-13,0,1
2021-10-14,1,0
2021-10-15,1,0
2021-10-17,2,0
2021-10-18,1,2
2021-10-19,1,0
2021-10-21,2,0
2021-10-23,1,0
2021-10-26,1,0
2021-10-27,0,2
2021-10-28,1,0
2021-10-29,1,1
2021-10-30,1,1
2021-10-31,2,0
2021-11-05,0,1
2021-11-08,1,0
2021-11-10,1,0
2021-11-13,1,0
2021-11-16,1,0
2021-11-17,0,1
2021-11-18,2,0
2021-11-20,1,0
2021-11-22,2,0
2021-11-25,1,0
2021-11-26,2,1
2021-11-27,1,0
2021-11-29,1,0
2021-12-02,1,0
2021-12-03,1,1
2021-12-04,2,0
2021-12-05,3,0
2021-12-06,1,0
2021-12-07,1,0
2021-12-10,1,0
2021-12-15,1,0
2021-12-16,1,0
2021-12-18,2,0
2021-12-20,1,1
2021-12-21,2,0
2021-12-22,1,0
2021-12-23,1,0
2021-12-25,1,0
2021-12-29,1,0
2021-12-30,2,0
2021-12-31,0,1
2022-01-03,3,0
2022-01-05,1,0
2022-01-07,1,0
2022-01-08,1,0
2022-01-10,2,0
2022-01-11,1,0
2022-01-12,0,1
2022-01-13,2,1
2022-01-15,1,0
2022-01-17,2,0
2022-01-18,1,0
2022-01-19,1,0
2022-01-21,1,0
2022-01-25,1,0
2022-01-29,1,0
2022-02-01,2,1
2022-02-03,2,0
2022-02-04,3,0
2022-02-05,1,0
2022-02-06,1,0
2022-02-09,1,0
2022-02-10,3,0
2022-02-11,1,0
2022-02-12,1,1
2022-02-13,0,1
2022-02-17,1,1
2022-02-18,1,0
2022-02-20,0,1
2022-02-21,0,1
2022-02-24,0,1
2022-02-25,2,0
2022-02-26,1,1
2022-02-27,1,0
2022-03-01,1,2
2022-03-02,1,1
2022-03-03,1,0
2022-03-04,2,0
2022-03-08,1,0
2022-03-10,1,1
2022-03-11,0,1
2022-03-13,1,0
2022-03-15,2,0
2022-03-17,3,0
2022-03-18,2,0
2022-03-19,1,1
2022-03-20,1,0
2022-03-21,1,0
2022-03-22,0,1
2022-03-23,2,0
2022-03-24,0,1
2022-03-25,1,0
2022-03-30,1,0
2022-04-01,1,0
2022-04-02,1,0
2022-04-04,1,0
2022-04-07,2,0
2022-04-08,3,0
2022-04-09,2,1
2022-04-10,0,1
2022-04-11,1,1
2022-04-12,1,0
2022-04-14,1,0
2022-04-17,0,1
2022-04-18,1,0
2022-04-19,2,0
2022-04-21,1,0
2022-04-22,3,1
2022-04-23,1,0
2022-04-24,1,0
2022-04-26,2,1
2022-04-27,3,0
2022-04-28,1,0
2022-04-29,1,0
2022-04-30,1,0
2022-05-01,3,1
2022-05-03,0,3
2022-05-04,4,0
2022-05-06,1,0
2022-05-09,0,1
2022-05-10,2,0
2022-05-11,1,0
2022-05-12,1,0
2022-05-13,0,1
2022-05-14,0,3
2022-05-16,1,0
2022-05-17,2,0
2022-05-18,2,0
2022-05-19,1,0
2022-05-20,1,0
2022-05-21,1,0
2022-05-23,1,1
2022-05-24,2,0
2022-05-26,0,1
2022-05-28,1,0
2022-05-30,1,0
2022-05-31,1,1
2022-06-01,1,0
2022-06-03,0,2
2022-06-04,3,0
2022-06-05,1,0
2022-06-06,1,0
2022-06-07,1,0
2022-06-08,2,0
2022-06-10,1,0
2022-06-11,1,0
2022-06-12,1,0
2022-06-13,1,0
2022-06-14,5,0
2022-06-15,1,0
2022-06-16,1,0
2022-06-17,1,0
2022-06-18,3,0
2022-06-20,1,0
2022-06-21,1,1
2022-06-25,1,0
2022-06-27,1,0
2022-06-29,1,0
2022-06-30,2,0
2022-07-01,2,0
2022-07-02,2,0
2022-07-03,1,0
2022-07-05,1,1
2022-07-06,1,1
2022-07-08,1,0
2022-07-09,1,0
2022-07-10,1,1
2022-07-11,3,0
2022-07-12,1,0
2022-07-13,3,2
2022-07-14,1,2
2022-07-15,1,0
2022-07-16,2,0
2022-07-17,1,0
2022-07-19,1,0
2022-07-20,1,2
2022-07-21,1,0
2022-07-22,1,2
2022-07-24,0,1
2022-07-25,1,1
2022-07-26,1,0
2022-07-27,4,0
2022-07-28,4,2
2022-07-29,2,0
2022-07-30,1,0
2022-07-31,5,0
2022-08-01,1,0
2022-08-03,1,1
2022-08-04,1,0
2022-08-05,2,0
2022-08-06,1,0
2022-08-07,0,1
2022-08-08,3,0
2022-08-10,1,0
2022-08-11,2,1
2022-08-12,1,0
2022-08-15,1,0
2022-08-17,2,1
2022-08-18,0,1
2022-08-19,2,0
2022-08-20,1,0
2022-08-22,1,0
2022-08-25,2,0
2022-08-26,1,1
2022-08-28,0,1
2022-08-29,1,0
2022-08-30,1,0
2022-08-31,1,0
2022-09-01,0,1
2022-09-03,0,1
2022-09-06,1,0
2022-09-07,0,1
2022-09-09,1,1
2022-09-12,1,2
2022-09-13,1,2
2022-09-14,1,3
2022-09-15,1,0
2022-09-16,2,0
2022-09-17,3,0
2022-09-18,2,0
2022-09-20,2,0
2022-09-22,1,0
2022-09-24,3,0
2022-09-26,0,1
2022-09-27,2,1
2022-09-30,1,0
2022-10-02,3,1
2022-10-05,1,2
2022-10-06,2,0
2022-10-07,1,0
2022-10-08,2,0
2022-10-09,0,2
2022-10-10,1,0
2022-10-11,1,0
2022-10-13,1,0
2022-10-14,0,1
2022-10-15,1,0
2022-10-16,2,0
2022-10-18,2,0
2022-10-19,1,0
2022-10-20,1,0
2022-10-21,2,1
2022-10-22,0,1
2022-10-24,1,0
2022-10-26,0,1
2022-10-27,1,0
2022-10-28,1,0
2022-10-29,1,0
2022-10-30,0,1
2022-11-01,3,0
2022-11-02,0,1
2022-11-05,1,0
2022-11-06,1,1
2022-11-10,1,0
2022-11-11,2,0
2022-11-13,1,0
2022-11-15,3,0
2022-11-16,0,1
2022-11-17,1,0
2022-11-18,1,0
2022-11-19,1,0
2022-11-20,1,0
2022-11-21,3,0
2022-11-22,1,0
2022-11-23,2,0
2022-11-24,1,0
2022-11-25,2,1
2022-11-26,2,0
2022-11-28,1,0
2022-11-29,3,0
2022-11-30,1,0
2022-12-03,2,0
2022-12-05,1,0
2022-12-07,1,0
2022-12-08,1,0
2022-12-09,1,0
2022-12-11,1,0
2022-12-12,2,0
2022-12-15,2,0
2022-12-16,1,0
2022-12-17,1,0
2022-12-18,1,0
2022-12-20,1,0
2022-12-21,2,0
2022-12-27,2,0
2022-12-31,1,0
2023-01-02,2,0
2023-01-03,1,0
2023-01-06,0,2
2023-01-09,1,0
2023-01-10,2,0
2023-01-12,1,0
2023-01-13,1,1
2023-01-14,1,0
2023-01-20,1,0
2023-01-21,1,0
2023-01-23,4,0
2023-01-24,2,1
2023-01-25,2,0
2023-01-26,0,1
2023-01-30,1,0
2023-01-31,1,0
2023-02-01,2,1
2023-02-03,2,0
2023-02-06,1,0
2023-02-08,1,0
2023-02-09,1,0
2023-02-11,1,0
2023-02-12,1,1
2023-02-13,2,0
2023-02-14,1,0
2023-02-16,1,0
2023-02-19,2,1
2023-02-21,1,0
2023-02-23,1,1
2023-02-24,1,0
2023-02-25,0,1
2023-03-02,3,0
2023-03-03,1,1
2023-03-07,1,0
2023-03-08,4,0
2023-03-12,1,0
2023-03-14,2,0
2023-03-16,0,1
2023-03-17,1,0
2023-03-18,1,1
2023-03-19,1,0
2023-03-20,1,0
2023-03-21,2,1
2023-03-22,1,0
2023-03-23,0,1
2023-03-30,1,0